"Ref.","Nombre","","Impuesto","Costo","Precio","Precio + Imp."
"MAROVI","AMPICILINA CAPSULAS ","","Excento de ","$42.01 ","$80.00 ","$80.00 "
"PENTIV","Ampicilina CÁPSULAS ","","Excento de ","$19.50 ","$40.00 ","$40.00 "
"AMPICIL","Ampicilina suspencion ","","Excento de ","$22.41 ","$42.00 ","$42.00 "
"PENTIV","Ampicilina suspensión ","","Excento de ","$22.50 ","$46.00 ","$46.00 "
"AMP AD","AMPIGRIM ADULYO ","","Excento de ","$74.94 ","$180.00 ","$180.00 "
"AMP ","AMPIGRIM INFANTIL ","","Excento de ","$100.00 ","$175.00 ","$175.00 "
"SICAL","Azitromicina 4g/100ml c/30ml ","","Excento de ","$73.63 ","$155.00 ","$155.00 "
"AZIBIOT","Azitromicina 500mg c/3 tbs","","Excento de ","$78.00 ","$170.00 ","$170.00 "
"CRAZ","Azitromicina 500mgc/3 tab","","Excento de ","$26.35 ","$70.00 ","$70.00 "
"MARZIV","Azitromicina tab.500mg c/3","","Excento de ","$32.00 ","$69.00 ","$69.00 "
"ZERTRA","Azitromicina TABLETAS ","","Excento de ","$27.88 ","$85.00 ","$85.00 "
"CHARY","AZITROMICINA TABLETAS ","","Excento de ","$31.97 ","$96.00 ","$96.00 "
"CHARY","AZITROMICINA TABLETAS ","","Excento de ","$40.95 ","$100.00 ","$100.00 "
"BENC ","Bencelin Combinado ","","Excento de ","$12.00 ","$25.00 ","$25.00 "
"BENZA","Bencilpenicilina 1.200.000 UI ","","Excento de ","$14.84 ","$28.00 ","$28.00 "
"PENIS","Bencilpenicilina 800.000 UI ","","Excento de ","$12.77 ","$22.00 ","$22.00 "
"BENCIL ","Bencilpenicilina Benzatinica ","","Excento de ","$12.74 ","$30.00 ","$30.00 "
"PENI ","Bencilpenicilina Procainica/ ","","Excento de ","$19.68 ","$40.00 ","$40.00 "
"LUGAX","Bencilpenicilina ","","Excento de ","$9.30 ","$20.00 ","$20.00 "
"BENCPZ","Bencilpenicilina Susp 1 200 ","","Excento de ","$14.50 ","$27.00 ","$27.00 "
"ALIVIN ","Bencilpenicilina/Clemizol/Met","","Excento de ","$21.00 ","$45.00 ","$45.00 "
"BENCIL","BENCIMPENICILINA ","","Excento de ","$18.20 ","$30.00 ","$30.00 "
"BENZAT","Benzatinica Bencilpenicilina 1 ","","Excento de ","$21.11 ","$35.00 ","$35.00 "
"FAS S ","Cefaclor 250mg/5ml c/72 ml","","Excento de ","$84.34 ","$175.00 ","$175.00 "
